"Date","Vessel","Station","Lat","Lon","Pressure [db]","Conductivity [mS/cm]","Temperature [°C]","Salinity [PSU]","Oxygen Saturation [ml/l]"
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,14.5,20.186099,18.0584,14.1201,6.07055
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,14.75,20.210204,18.0371,14.1473,6.07217
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,15,20.22774,18.0513,14.1538,6.07019
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,15.25,20.242357,18.0318,14.1722,6.07189
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,15.5,20.24642,18.0043,14.1851,6.07474
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,15.75,20.257852,17.9798,14.2024,6.07711
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,16,20.260066,17.8991,14.234,6.08578
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,16.25,20.250256,17.8349,14.2494,6.09306
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,16.5,20.039063,17.1911,14.3239,6.17011
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,16.75,20.033085,16.6375,14.5282,6.23214
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,17,20.093839,16.6326,14.5758,6.23102
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,17.25,20.169484,16.5627,14.6606,6.23677
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,17.5,20.452592,16.2271,15.0145,6.26638
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,17.75,20.850458,15.4679,15.6456,6.34148
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,18,21.555634,14.0268,16.8595,6.48803
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,18.25,21.879236,13.0793,17.5788,6.59156
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,18.5,22.087494,12.2585,18.1642,6.68584
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,18.75,22.193232,11.4983,18.6444,6.77823
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,19,22.271435,10.5447,19.217,6.89921
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,19.25,22.403562,10.1328,19.5608,6.94822
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,19.5,22.499947,10.1694,19.6205,6.93979
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,19.75,22.640406,10.19,19.7319,6.93127
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,20,23.433477,9.7248,20.756,6.95977
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,20.25,23.970549,9.348,21.5002,6.98663
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,20.5,24.771855,8.9455,22.5339,7.005
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,20.75,25.181929,8.8204,23.0134,7.00362
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,21,25.249781,8.4939,23.2915,7.044
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,21.25,25.503527,8.0126,23.8781,7.0966
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,21.5,26.008039,7.8842,24.4804,7.09051
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,21.75,26.639541,8.0846,24.9734,7.03472
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,22,27.206733,8.3649,25.3369,6.97301
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,22.25,28.267482,8.872,26.0254,6.86178
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,22.5,29.003282,9.125,26.5669,6.79863
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,22.75,29.51783,9.2703,26.9669,6.75894
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,23,29.633631,9.3018,27.0553,6.75032
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,23.25,29.69139,9.316,27.0996,6.74625
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,23.5,29.710291,9.3201,27.1129,6.74506
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,23.75,29.723801,9.3227,27.1217,6.74425
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,24,29.729512,9.3234,27.1238,6.74406
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,24.25,29.736178,9.324,27.1258,6.7439
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,24.5,29.742891,9.325,27.1285,6.74363
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,24.75,29.75116,9.3262,27.1339,6.74321
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,25,29.765977,9.3287,27.1453,6.74236
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,25.25,29.76776,9.3288,27.1454,6.74233
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,25.5,29.768308,9.3288,27.1445,6.74236
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,25.75,29.770048,9.3289,27.1442,6.74236
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,26,29.774054,9.3313,27.144,6.74194
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,26.25,29.77549,9.3316,27.143,6.74201
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,26.5,29.776418,9.3306,27.1425,6.74216
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,26.75,29.78123,9.3424,27.1215,6.74127
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,27,29.785352,9.3418,27.1284,6.74105
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,27.25,29.78242,9.3358,27.1302,6.74188
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,27.5,29.780717,9.3327,27.1308,6.74236
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,27.75,29.776105,9.3278,27.1295,6.74314
