"species","regime","depth","atom13C"
"Dictyota pinnatifida","C",5,1.091
"Halimeda opuntia","C",5,1.088
"Turfalgae","C",5,1.089
"Fluffy balls","C",5,1.089
"Red hairy","C",5,1.094
"Black balls","C",5,1.1
"Brown mat","C",5,1.099
"Poritis asteriodes","C",5,1.09
"Madracis mirabilis","C",5,1.087
"Aka","C",5,1.083
"CCA","C",5,1.085
"Lobophora variegata","N1",10,1.282
"Dictyota pinnatifida","N1",10,1.673
"Halimeda opuntia","N1",10,1.192
"Turfalgae","N1",10,1.224
"Red mat","N1",10,1.528
"Red hairy","N1",10,1.879
"Black balls","N1",10,1.468
"Orange mat","N1",10,1.31
"Brown mat","N1",10,2.14
"Poritis asteriodes","N1",10,1.257
"Madracis mirabilis","N1",10,1.493
"Aka","N1",10,1.085
"CCA","N1",10,1.216
"Lobophora variegata","N2",10,1.314
"Dictyota pinnatifida","N2",10,1.573
"Halimeda opuntia","N2",10,1.234
"Turfalgae","N2",10,1.247
"Red mat","N2",10,1.254
"Red hairy","N2",10,1.779
"Black balls","N2",10,1.357
"Orange mat","N2",10,1.286
"Brown mat","N2",10,1.927
"Poritis asteriodes","N2",10,1.192
"Madracis mirabilis","N2",10,1.676
"Aka","N2",10,1.083
"CCA","N2",10,1.187
"Lobophora variegata","N3",10,1.292
"Dictyota pinnatifida","N3",10,1.552
"Halimeda opuntia","N3",10,1.228
"Turfalgae","N3",10,1.326
"Red mat","N3",10,1.217
"Red hairy","N3",10,1.669
"Black balls","N3",10,1.492
"Orange mat","N3",10,1.36
"Brown mat","N3",10,1.588
"Poritis asteriodes","N3",10,1.317
"Madracis mirabilis","N3",10,1.593
"Aka","N3",10,1.084
"CCA","N3",10,1.14
"Lobophora variegata","C",10,1.085
"Dictyota pinnatifida","C",10,1.091
"Halimeda opuntia","C",10,1.083
"Turfalgae","C",10,1.088
"Red mat","C",10,1.096
"Red hairy","C",10,1.093
"Black balls","C",10,1.095
"Orange mat","C",10,1.096
"Brown mat","C",10,1.097
"Poritis asteriodes","C",10,1.089
"Madracis mirabilis","C",10,1.091
"Aka","C",10,1.084
"CCA","C",10,1.086
"Lobophora variegata","N1",10,1.259
"Dictyota pinnatifida","N1",10,1.552
"Halimeda opuntia","N1",10,1.234
"Turfalgae","N1",10,1.284
"Red mat","N1",10,1.285
"Red hairy","N1",10,2.007
"Black balls","N1",10,1.298
"Orange mat","N1",10,1.24
"Brown mat","N1",10,1.68
"Poritis asteriodes","N1",10,1.212
"Madracis mirabilis","N1",10,1.355
"Aka","N1",10,1.084
"CCA","N1",10,1.224
"Lobophora variegata","N2",10,1.226
"Dictyota pinnatifida","N2",10,1.529
"Halimeda opuntia","N2",10,1.216
"Turfalgae","N2",10,1.298
"Red mat","N2",10,1.267
"Red hairy","N2",10,1.515
"Black balls","N2",10,1.222
"Orange mat","N2",10,1.192
"Brown mat","N2",10,"NA"
"Poritis asteriodes","N2",10,1.215
"Madracis mirabilis","N2",10,1.507
"Aka","N2",10,1.086
"CCA","N2",10,1.194
"Lobophora variegata","N3",10,1.203
"Dictyota pinnatifida","N3",10,1.472
"Halimeda opuntia","N3",10,1.249
"Turfalgae","N3",10,1.161
"Red mat","N3",10,1.243
"Red hairy","N3",10,1.669
"Black balls","N3",10,1.179
"Orange mat","N3",10,1.143
"Brown mat","N3",10,"NA"
"Poritis asteriodes","N3",10,1.36
"Madracis mirabilis","N3",10,1.382
"Aka","N3",10,1.092
"CCA","N3",10,1.177
"Lobophora variegata","C",10,1.09
"Dictyota pinnatifida","C",10,1.09
"Halimeda opuntia","C",10,1.081
"Turfalgae","C",10,1.088
"Red mat","C",10,1.095
"Red hairy","C",10,1.083
"Black balls","C",10,1.098
"Orange mat","C",10,1.096
"Brown mat","C",10,1.099
"Poritis asteriodes","C",10,1.089
"Madracis mirabilis","C",10,1.089
"Aka","C",10,1.084
"CCA","C",10,1.083
"Lobophora variegata","N1",10,1.265
"Dictyota pinnatifida","N1",10,1.397
"Halimeda opuntia","N1",10,1.182
"Turfalgae","N1",10,1.285
"Red mat","N1",10,1.296
"Red hairy","N1",10,1.609
"Black balls","N1",10,1.206
"Orange mat","N1",10,1.222
"Brown mat","N1",10,1.446
"Poritis asteriodes","N1",10,1.224
"Madracis mirabilis","N1",10,1.293
"Aka","N1",10,"NA"
"CCA","N1",10,1.145
"Lobophora variegata","N2",10,1.229
"Dictyota pinnatifida","N2",10,1.433
"Halimeda opuntia","N2",10,1.225
"Turfalgae","N2",10,1.298
"Red mat","N2",10,1.189
"Red hairy","N2",10,1.604
"Black balls","N2",10,1.201
"Orange mat","N2",10,1.282
"Brown mat","N2",10,1.59
"Poritis asteriodes","N2",10,1.226
"Madracis mirabilis","N2",10,1.356
"Aka","N2",10,1.085
"CCA","N2",10,1.122
"Lobophora variegata","N3",10,1.22
"Dictyota pinnatifida","N3",10,1.416
"Halimeda opuntia","N3",10,1.192
"Turfalgae","N3",10,1.307
"Red mat","N3",10,1.207
"Red hairy","N3",10,1.647
"Black balls","N3",10,1.172
"Orange mat","N3",10,1.234
"Brown mat","N3",10,1.447
"Poritis asteriodes","N3",10,1.17
"Madracis mirabilis","N3",10,1.251
"Aka","N3",10,1.085
"CCA","N3",10,1.183
"Lobophora variegata","C",10,1.088
"Dictyota pinnatifida","C",10,1.089
"Halimeda opuntia","C",10,1.082
"Turfalgae","C",10,1.088
"Red mat","C",10,1.094
"Red hairy","C",10,1.083
"Black balls","C",10,1.105
"Orange mat","C",10,1.094
"Brown mat","C",10,1.1
"Poritis asteriodes","C",10,1.086
"Madracis mirabilis","C",10,1.092
"Aka","C",10,1.084
"CCA","C",10,1.086
"Lobophora variegata","N1",10,1.276
"Dictyota pinnatifida","N1",10,1.454
"Halimeda opuntia","N1",10,1.19
"Turfalgae","N1",10,1.299
"Red mat","N1",10,1.257
"Red hairy","N1",10,1.643
"Black balls","N1",10,1.181
"Orange mat","N1",10,1.218
"Brown mat","N1",10,1.517
"Poritis asteriodes","N1",10,1.196
"Madracis mirabilis","N1",10,1.267
"Aka","N1",10,1.084
"CCA","N1",10,1.156
"Lobophora variegata","N2",10,1.279
"Dictyota pinnatifida","N2",10,1.467
"Halimeda opuntia","N2",10,1.182
"Turfalgae","N2",10,1.316
"Red mat","N2",10,1.32
"Red hairy","N2",10,1.586
"Black balls","N2",10,1.154
"Orange mat","N2",10,1.179
"Brown mat","N2",10,"NA"
"Poritis asteriodes","N2",10,1.2
"Madracis mirabilis","N2",10,1.256
"Aka","N2",10,1.085
"CCA","N2",10,1.183
"Lobophora variegata","N3",10,1.235
"Dictyota pinnatifida","N3",10,1.415
"Halimeda opuntia","N3",10,1.198
"Turfalgae","N3",10,1.294
"Red mat","N3",10,1.301
"Red hairy","N3",10,1.7
"Black balls","N3",10,1.2
"Orange mat","N3",10,1.399
"Brown mat","N3",10,1.876
"Poritis asteriodes","N3",10,1.164
"Madracis mirabilis","N3",10,1.306
"Aka","N3",10,1.084
"CCA","N3",10,1.196
"Lobophora variegata","C",10,1.089
"Dictyota pinnatifida","C",10,1.087
"Halimeda opuntia","C",10,1.081
"Turfalgae","C",10,1.09
"Red mat","C",10,1.097
"Red hairy","C",10,1.083
"Black balls","C",10,1.101
"Orange mat","C",10,1.096
"Brown mat","C",10,"NA"
"Poritis asteriodes","C",10,1.089
"Madracis mirabilis","C",10,1.088
"Aka","C",10,1.083
"CCA","C",10,1.084
"Lobophora variegata","N1",20,1.269
"Dictyota pinnatifida","N1",20,1.485
"Halimeda opuntia","N1",20,1.226
"Turfalgae","N1",20,1.473
"Red mat","N1",20,"NA"
"Red hairy","N1",20,1.628
"Black balls","N1",20,1.352
"Orange mat","N1",20,"NA"
"Poritis asteriodes","N1",20,1.281
"Madracis mirabilis","N1",20,1.378
"Aka","N1",20,1.085
"CCA","N1",20,1.18
"Lobophora variegata","N2",20,1.263
"Dictyota pinnatifida","N2",20,1.508
"Halimeda opuntia","N2",20,1.235
"Turfalgae","N2",20,1.571
"Red mat","N2",20,"NA"
"Red hairy","N2",20,1.654
"Black balls","N2",20,1.31
"Orange mat","N2",20,1.326
"Poritis asteriodes","N2",20,1.317
"Madracis mirabilis","N2",20,1.68
"Aka","N2",20,1.085
"CCA","N2",20,1.169
"Lobophora variegata","N3",20,1.242
"Dictyota pinnatifida","N3",20,1.448
"Halimeda opuntia","N3",20,1.212
"Turfalgae","N3",20,1.446
"Red mat","N3",20,"NA"
"Red hairy","N3",20,1.618
"Black balls","N3",20,1.437
"Orange mat","N3",20,"NA"
"Poritis asteriodes","N3",20,1.254
"Madracis mirabilis","N3",20,1.494
"Aka","N3",20,1.087
"CCA","N3",20,1.191
"Lobophora variegata","C",20,1.087
"Dictyota pinnatifida","C",20,1.089
"Halimeda opuntia","C",20,1.087
"Turfalgae","C",20,1.089
"Red mat","C",20,"NA"
"Red hairy","C",20,1.088
"Black balls","C",20,1.098
"Orange mat","C",20,"NA"
"Poritis asteriodes","C",20,1.09
"Madracis mirabilis","C",20,1.092
"Aka","C",20,1.084
"CCA","C",20,1.085
"Lobophora variegata","N1",20,1.196
"Dictyota pinnatifida","N1",20,1.285
"Halimeda opuntia","N1",20,1.149
"Turfalgae","N1",20,1.175
"Red mat","N1",20,1.094
"Red hairy","N1",20,1.444
"Black balls","N1",20,1.336
"Orange mat","N1",20,1.166
"Poritis asteriodes","N1",20,1.234
"Madracis mirabilis","N1",20,1.298
"Aka","N1",20,1.085
"CCA","N1",20,1.148
"Lobophora variegata","N2",20,1.209
"Dictyota pinnatifida","N2",20,1.34
"Halimeda opuntia","N2",20,1.138
"Turfalgae","N2",20,1.24
"Red mat","N2",20,1.207
"Red hairy","N2",20,1.351
"Black balls","N2",20,"NA"
"Orange mat","N2",20,"NA"
"Poritis asteriodes","N2",20,1.183
"Madracis mirabilis","N2",20,1.347
"Aka","N2",20,1.085
"CCA","N2",20,1.146
"Lobophora variegata","N3",20,1.197
"Dictyota pinnatifida","N3",20,1.293
"Halimeda opuntia","N3",20,1.144
"Turfalgae","N3",20,1.222
"Red mat","N3",20,1.21
"Red hairy","N3",20,1.438
"Black balls","N3",20,1.261
"Orange mat","N3",20,1.19
"Poritis asteriodes","N3",20,1.188
"Madracis mirabilis","N3",20,1.293
"Aka","N3",20,1.084
"CCA","N3",20,1.161
"Lobophora variegata","C",20,1.092
"Dictyota pinnatifida","C",20,1.088
"Halimeda opuntia","C",20,1.081
"Turfalgae","C",20,1.081
"Red mat","C",20,1.098
"Red hairy","C",20,1.083
"Black balls","C",20,1.1
"Orange mat","C",20,1.095
"Poritis asteriodes","C",20,1.086
"Madracis mirabilis","C",20,1.085
"Aka","C",20,1.084
"CCA","C",20,1.083
"Lobophora variegata","N1",20,1.237
